"ReachID","SiteID","Year","Date","BRLat","BRLong","BFWidth","Grad","RchLen","BF_WDRatio","BF_Height","RPD ","PetPool","Sin ","PctDry","BankAngle","D50","PoolTailFines2","PctFines2","PctFines6","LWD_Freq","LWD_Vol","Program"
"6478","3226",2012,NA,42.0768027778,-113.677480556,4.7,1.702,171,28.76,NA,0.11,8.65,31.667,NA,145,0.002,89.5,NA,NA,11.7,0.588,"PIBO"
"6356","3110",2011,NA,45.4911199213,-118.170850345,1.77,11.712,149.5,11.81,NA,0.2,7.49,8.794,NA,111,0.014,12.86,NA,NA,541.81,227.465,"PIBO"
"5233","2840",2009,NA,44.535637,-112.486021,2.48,0.675,162.9,7.5,NA,0.33,62.31,5.656,NA,113,0.011,13,NA,NA,0,0,"PIBO"
"5132","2739",2009,NA,44.825774,-112.180304,8.64,0.634,203.5,16.89,NA,0.48,57.44,3.99,NA,111,0.058,1.9,NA,NA,24.57,2.067,"PIBO"
"5031","903",2009,NA,45.040643,-117.441191,13.32,0.426,267.5,24.54,NA,0.74,52.45,3.591,NA,90,0.0365,6.27,NA,NA,811.21,366.497,"PIBO"
"2535","1930",2006,NA,45.076244,-111.319995,15.29,0.392,291,65.4,NA,1.05,55.4,3.566,NA,94,0.042,3,NA,NA,0,0,"PIBO"
"3981","903",2007,NA,45.040643,-117.441191,13.52,0.381,262.8,30.69,NA,0.76,57.65,3.547,NA,89,0.019,21.6,NA,NA,677.32,353.446,"PIBO"
"6499","3247",2012,NA,45.2691222222,-116.203441667,1.73,1.316,133,6.19,NA,0.14,30.53,3.482,NA,95,0.002,60.42,NA,NA,165.41,49.544,"PIBO"
"5319","2927",2009,NA,40.263766,-111.222665,6.51,0.156,167.1,12.86,NA,0.74,68.76,3.481,NA,126,0.025,26.79,NA,NA,23.94,15.48,"PIBO"
"1306","903",2003,NA,45.040643,-117.441191,12.02,0.358,288.1,44.39,NA,0.72,50.43,3.442,NA,76,0.02,10.03,NA,NA,794.86,232.978,"PIBO"
"2419","903",2006,NA,45.040643,-117.441191,14.68,0.392,248.6,35.24,NA,1.2,56.96,3.392,NA,105,0.023,12.22,NA,NA,619.47,235.738,"PIBO"
"1304","903",2001,NA,45.040643,-117.441191,12.56,0.394,306.9,40.35,NA,0.68,50.99,3.296,NA,100,0.021,NA,NA,NA,619.09,184.755,"PIBO"
"1303","903",2002,NA,45.040643,-117.441191,15.03,0.382,308.7,27.49,NA,0.81,40.82,3.263,NA,95,0.041,NA,NA,NA,586.33,273.686,"PIBO"
"6190","903",2011,NA,45.040643,-117.441191,15.75,0.41,263.5,20.96,NA,0.78,34.38,3.156,NA,91,0.024,15.83,NA,NA,652.75,132.283,"PIBO"
